date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:09	125/125	---MCZ	200	added ('OK')	text/plain	etag:W/%2265e82375-cc%22	https://fiberksa.com/robots.txt		(from )
21:36:09	74862/74862	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Aug%202025%2018:36:10%20GMT	https://fiberksa.com/	F:/VisualRepo/python%20Test/asd/fiberksa.com/index.html	(from )
21:36:09	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	F:/VisualRepo/python%20Test/asd/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://fiberksa.com/)
21:36:09	4363/4363	---MCZ	200	added ('OK')	image/png	etag:W/%2266210c8b-110b%22	https://fiberksa.com/assets/img/fav.png	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/img/fav.png	(from https://fiberksa.com/)
21:36:09	3498/3498	---MCZ	200	added ('OK')	image/png	etag:W/%2266210c86-daa%22	https://fiberksa.com/assets/img/fav2.png	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/img/fav2.png	(from https://fiberksa.com/)
21:36:10	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2260b5e900-65c5%22	https://fiberksa.com/assets/vendor/aos/aos.css	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/vendor/aos/aos.css	(from https://fiberksa.com/)
21:36:10	155736/155736	---MCZ	200	added ('OK')	text/css	etag:W/%2260b5e900-26058%22	https://fiberksa.com/assets/vendor/bootstrap/css/bootstrap.rtl.min.css	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/vendor/bootstrap/css/bootstrap.rtl.min.css	(from https://fiberksa.com/)
21:36:10	43004/43004	---MCZ	200	added ('OK')	text/css	etag:W/%2268299401-a7fc%22	https://fiberksa.com/assets/css/style.css?ver=1.3	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/css/style4e44.css	(from https://fiberksa.com/)
21:36:10	857/857	---MCZ	200	added ('OK')	text/css	etag:W/%2265e7ceea-359%22	https://fiberksa.com/assets/css/desktop.css?ver=1.1	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/css/desktop4963.css	(from https://fiberksa.com/)
21:36:11	914/914	---MCZ	200	added ('OK')	text/css	etag:W/%2265e7ceef-392%22	https://fiberksa.com/assets/css/mobile.css?ver=1.1	F:/VisualRepo/python%20Test/asd/fiberksa.com/assets/css/mobile4963.css	(from https://fiberksa.com/)
